"filename", "language", "Dart", "comment", "blank", "total"
"/Users/lxdklp/Code/FML/lib/function/download/bmclapi_download.dart", "Dart", 53, 9, 1, 63
"/Users/lxdklp/Code/FML/lib/function/download/modrinth_download.dart", "Dart", 53, 9, 1, 63
"/Users/lxdklp/Code/FML/lib/function/extract_natives.dart", "Dart", 61, 4, 2, 67
"/Users/lxdklp/Code/FML/lib/function/launcher/fabric.dart", "Dart", 303, 28, 14, 345
"/Users/lxdklp/Code/FML/lib/function/launcher/neoforge.dart", "Dart", 234, 24, 9, 267
"/Users/lxdklp/Code/FML/lib/function/launcher/vanilla.dart", "Dart", 109, 6, 4, 119
"/Users/lxdklp/Code/FML/lib/function/log.dart", "Dart", 27, 4, 1, 32
"/Users/lxdklp/Code/FML/lib/main.dart", "Dart", 324, 11, 27, 362
"/Users/lxdklp/Code/FML/lib/pages/download.dart", "Dart", 47, 0, 6, 53
"/Users/lxdklp/Code/FML/lib/pages/download/download_modrinth.dart", "Dart", 377, 9, 16, 402
"/Users/lxdklp/Code/FML/lib/pages/download/download_version.dart", "Dart", 232, 4, 9, 245
"/Users/lxdklp/Code/FML/lib/pages/download/download_version/download_game.dart", "Dart", 367, 8, 13, 388
"/Users/lxdklp/Code/FML/lib/pages/download/download_version/loader/download_fabric.dart", "Dart", 1076, 49, 25, 1150
"/Users/lxdklp/Code/FML/lib/pages/download/download_version/loader/download_neoforge.dart", "Dart", 1127, 53, 29, 1209
"/Users/lxdklp/Code/FML/lib/pages/download/download_version/loader/download_vanilla.dart", "Dart", 812, 37, 23, 872
"/Users/lxdklp/Code/FML/lib/pages/download/modrinth/info.dart", "Dart", 435, 15, 17, 467
"/Users/lxdklp/Code/FML/lib/pages/download/modrinth/type/mod.dart", "Dart", 490, 12, 21, 523
"/Users/lxdklp/Code/FML/lib/pages/download/modrinth/type/modpack.dart", "Dart", 18, 0, 3, 21
"/Users/lxdklp/Code/FML/lib/pages/download/modrinth/type/resourcepack.dart", "Dart", 440, 11, 20, 471
"/Users/lxdklp/Code/FML/lib/pages/download/modrinth/type/shader.dart", "Dart", 490, 12, 21, 523
"/Users/lxdklp/Code/FML/lib/pages/home.dart", "Dart", 117, 0, 7, 124
"/Users/lxdklp/Code/FML/lib/pages/home/account.dart", "Dart", 101, 3, 8, 112
"/Users/lxdklp/Code/FML/lib/pages/home/account/account_management.dart", "Dart", 201, 7, 13, 221
"/Users/lxdklp/Code/FML/lib/pages/home/account/new_account.dart", "Dart", 108, 2, 5, 115
"/Users/lxdklp/Code/FML/lib/pages/home/management.dart", "Dart", 397, 14, 14, 425
"/Users/lxdklp/Code/FML/lib/pages/home/play.dart", "Dart", 51, 1, 7, 59
"/Users/lxdklp/Code/FML/lib/pages/home/version.dart", "Dart", 90, 5, 11, 106
"/Users/lxdklp/Code/FML/lib/pages/home/version/add_path.dart", "Dart", 134, 3, 10, 147
"/Users/lxdklp/Code/FML/lib/pages/home/version/selected_game.dart", "Dart", 141, 5, 11, 157
"/Users/lxdklp/Code/FML/lib/pages/setting.dart", "Dart", 131, 2, 7, 140
"/Users/lxdklp/Code/FML/lib/pages/setting/about.dart", "Dart", 281, 1, 8, 290
"/Users/lxdklp/Code/FML/lib/pages/setting/java.dart", "Dart", 46, 0, 6, 52
"/Users/lxdklp/Code/FML/lib/pages/setting/theme.dart", "Dart", 104, 4, 8, 116
"/Users/lxdklp/Code/FML/lib/pages/test.dart", "Dart", 18, 0, 3, 21
"Total", "-", 8995, 352, 380, 9727